Timestamp,WiFi Attenuation,Signal Strength,Noise,Transfer Rate,Bandwidth
09:15:36,3,-039,-074,1.50 MBytes,12.6 Mbits/sec
09:15:37,3,-039,-076,1.52 MBytes,12.7 Mbits/sec
09:15:38,3,-038,-080,1.42 MBytes,11.9 Mbits/sec
09:15:38,3,-038,-080,1.56 MBytes,13.1 Mbits/sec
09:15:39,4,-039,-082,1.41 MBytes,11.8 Mbits/sec
09:15:40,4,-039,-081,1.47 MBytes,12.3 Mbits/sec
09:15:41,4,-038,-079,918 KBytes,7.52 Mbits/sec
09:15:42,4,-039,-076,1.10 MBytes,9.23 Mbits/sec
09:15:43,4,-040,-075,772 KBytes,6.32 Mbits/sec
09:15:44,4,-041,-076,7.07 KBytes,57.9 Kbits/sec
09:15:45,4,-043,-076,427 KBytes,3.50 Mbits/sec
09:15:46,4,-039,-075,1.17 MBytes,9.85 Mbits/sec
09:15:48,4,-040,-075,1.01 MBytes,8.48 Mbits/sec
09:15:49,4,-040,-076,1.10 MBytes,9.20 Mbits/sec
09:15:50,4,-042,-078,580 KBytes,4.75 Mbits/sec
09:15:51,5,-038,-080,462 KBytes,3.79 Mbits/sec
09:15:52,5,-041,-079,351 KBytes,2.87 Mbits/sec
09:15:53,5,-040,-077,908 KBytes,7.44 Mbits/sec
09:15:54,5,-041,-075,1.06 MBytes,8.91 Mbits/sec
09:15:55,5,-041,-077,1.05 MBytes,8.80 Mbits/sec
09:15:56,5,-041,-078,872 KBytes,7.15 Mbits/sec
09:15:56,5,-041,-078,943 KBytes,7.73 Mbits/sec
09:15:57,5,-042,-078,1.34 MBytes,11.2 Mbits/sec
09:15:58,5,-042,-077,19.8 KBytes,3.54 Mbits/sec
09:15:58,5,-042,-077,31.4 MBytes,8.76 Mbits/sec
09:15:58,5,-042,-077,30.8 MBytes,8.60 Mbits/sec
09:16:10,6,-042,-073,1.19 MBytes,10.0 Mbits/sec
09:16:11,6,-042,-074,1.03 MBytes,8.61 Mbits/sec
09:16:12,6,-041,-076,957 KBytes,7.84 Mbits/sec
09:16:13,6,-043,-075,1.24 MBytes,10.4 Mbits/sec
09:16:14,7,-042,-077,1.02 MBytes,8.55 Mbits/sec
09:16:14,7,-042,-077,1.22 MBytes,10.2 Mbits/sec
09:16:15,7,-043,-077,1.11 MBytes,9.32 Mbits/sec
09:16:16,7,-044,-075,1.00 MBytes,8.40 Mbits/sec
09:16:17,7,-044,-074,940 KBytes,7.70 Mbits/sec
09:16:18,7,-043,-073,751 KBytes,6.15 Mbits/sec
09:16:19,7,-043,-074,909 KBytes,7.45 Mbits/sec
09:16:20,7,-043,-076,875 KBytes,7.17 Mbits/sec
09:16:21,7,-043,-078,813 KBytes,6.66 Mbits/sec
09:16:22,7,-044,-080,783 KBytes,6.42 Mbits/sec
09:16:23,7,-044,-081,683 KBytes,5.59 Mbits/sec
09:16:24,7,-043,-081,232 KBytes,1.90 Mbits/sec
09:16:25,8,-043,-079,1.09 MBytes,9.12 Mbits/sec
09:16:27,8,-044,-079,895 KBytes,7.33 Mbits/sec
09:16:28,8,-044,-079,618 KBytes,5.06 Mbits/sec
09:16:29,8,-043,-077,902 KBytes,7.39 Mbits/sec
09:16:30,8,-044,-077,757 KBytes,6.20 Mbits/sec
09:16:31,8,-044,-077,724 KBytes,5.93 Mbits/sec
09:16:31,8,-044,-077,897 KBytes,7.33 Mbits/sec
09:16:32,8,-045,-081,831 KBytes,6.82 Mbits/sec
09:16:33,8,-042,-080,544 KBytes,4.46 Mbits/sec
09:16:34,8,-044,-080,880 KBytes,7.20 Mbits/sec
09:16:35,8,-044,-079,448 KBytes,3.67 Mbits/sec
09:16:36,8,-044,-077,568 KBytes,4.66 Mbits/sec
09:16:37,9,-044,-076,646 KBytes,5.29 Mbits/sec
09:16:38,9,-045,-074,997 KBytes,8.17 Mbits/sec
09:16:38,9,-045,-074,46.7 KBytes,7.15 Mbits/sec
09:16:38,9,-045,-074,25.4 MBytes,7.10 Mbits/sec
09:16:38,9,-045,-074,25.2 MBytes,7.03 Mbits/sec
09:16:52,10,-048,-076,519 KBytes,4.25 Mbits/sec
09:16:53,10,-045,-076,766 KBytes,6.28 Mbits/sec
09:16:54,10,-047,-077,752 KBytes,6.16 Mbits/sec
09:16:55,10,-046,-079,922 KBytes,7.55 Mbits/sec
09:16:56,10,-046,-078,704 KBytes,5.77 Mbits/sec
09:16:57,10,-046,-079,874 KBytes,7.16 Mbits/sec
09:16:58,10,-046,-079,744 KBytes,6.09 Mbits/sec
09:16:59,10,-046,-078,642 KBytes,5.26 Mbits/sec
09:17:00,11,-046,-078,857 KBytes,7.02 Mbits/sec
09:17:01,11,-046,-078,471 KBytes,3.86 Mbits/sec
09:17:02,11,-047,-077,527 KBytes,4.32 Mbits/sec
09:17:03,11,-047,-077,759 KBytes,6.22 Mbits/sec
09:17:04,11,-046,-077,782 KBytes,6.41 Mbits/sec
09:17:06,11,-047,-077,731 KBytes,5.99 Mbits/sec
09:17:07,11,-047,-078,906 KBytes,7.43 Mbits/sec
09:17:08,11,-047,-079,1.06 MBytes,8.86 Mbits/sec
09:17:09,11,-046,-079,856 KBytes,7.01 Mbits/sec
09:17:10,11,-046,-078,576 KBytes,4.71 Mbits/sec
09:17:11,11,-047,-077,663 KBytes,5.43 Mbits/sec
09:17:12,12,-047,-077,594 KBytes,4.87 Mbits/sec
09:17:12,12,-047,-077,742 KBytes,6.08 Mbits/sec
09:17:13,12,-047,-077,327 KBytes,2.68 Mbits/sec
09:17:14,12,-048,-076,447 KBytes,3.66 Mbits/sec
09:17:15,12,-048,-075,310 KBytes,2.54 Mbits/sec
09:17:16,12,-047,-074,629 KBytes,5.15 Mbits/sec
09:17:17,12,-051,-075,683 KBytes,5.60 Mbits/sec
09:17:18,12,-048,-078,871 KBytes,7.14 Mbits/sec
09:17:19,12,-048,-081,604 KBytes,4.94 Mbits/sec
09:17:20,12,-049,-083,700 KBytes,5.74 Mbits/sec
09:17:21,12,-047,-083,624 KBytes,5.11 Mbits/sec
09:17:21,12,-047,-083,107 KBytes,6.20 Mbits/sec
09:17:21,12,-047,-083,20.5 MBytes,5.70 Mbits/sec
09:17:21,12,-047,-083,20.3 MBytes,5.65 Mbits/sec
09:17:33,13,-049,-077,578 KBytes,4.74 Mbits/sec
09:17:34,13,-049,-075,424 KBytes,3.48 Mbits/sec
09:17:35,14,-048,-075,590 KBytes,4.83 Mbits/sec
09:17:36,14,-049,-077,519 KBytes,4.25 Mbits/sec
09:17:37,14,-049,-079,0.00 Bytes,0.00 bits/sec
09:17:38,14,-049,-079,618 KBytes,5.07 Mbits/sec
09:17:39,14,-048,-078,536 KBytes,4.39 Mbits/sec
09:17:40,14,-049,-076,604 KBytes,4.95 Mbits/sec
09:17:41,14,-050,-074,544 KBytes,4.46 Mbits/sec
09:17:43,14,-052,-074,400 KBytes,3.28 Mbits/sec
09:17:44,14,-050,-073,525 KBytes,4.30 Mbits/sec
09:17:45,14,-049,-073,550 KBytes,4.51 Mbits/sec
09:17:46,14,-049,-075,457 KBytes,3.74 Mbits/sec
09:17:47,15,-050,-077,543 KBytes,4.45 Mbits/sec
09:17:48,15,-053,-078,255 KBytes,2.08 Mbits/sec
09:17:49,15,-051,-078,358 KBytes,2.93 Mbits/sec
09:17:49,15,-051,-078,199 KBytes,1.63 Mbits/sec
09:17:50,15,-052,-077,137 KBytes,1.12 Mbits/sec
09:17:51,15,-055,-076,1.41 KBytes,11.6 Kbits/sec
09:17:52,15,-054,-073,0.00 Bytes,0.00 bits/sec
09:17:53,15,-054,-073,526 KBytes,4.31 Mbits/sec
09:17:54,15,-051,-074,505 KBytes,4.14 Mbits/sec
09:17:55,15,-050,-075,399 KBytes,3.27 Mbits/sec
09:17:56,15,-052,-076,421 KBytes,3.45 Mbits/sec
09:17:57,15,-051,-075,506 KBytes,4.15 Mbits/sec
09:17:58,16,-052,-075,472 KBytes,3.87 Mbits/sec
09:17:59,16,-053,-077,218 KBytes,1.78 Mbits/sec
09:18:00,16,-053,-079,136 KBytes,1.11 Mbits/sec
09:18:02,16,-052,-079,264 KBytes,2.17 Mbits/sec
09:18:03,16,-052,-078,354 KBytes,2.90 Mbits/sec
09:18:03,16,-052,-078,14.1 KBytes,3.80 Mbits/sec
09:18:03,16,-052,-078,11.5 MBytes,3.20 Mbits/sec
09:18:03,16,-052,-078,11.4 MBytes,3.18 Mbits/sec
09:18:14,17,-055,-075,352 KBytes,2.88 Mbits/sec
09:18:15,17,-052,-073,406 KBytes,3.32 Mbits/sec
09:18:16,17,-052,-071,452 KBytes,3.71 Mbits/sec
09:18:17,17,-052,-072,462 KBytes,3.79 Mbits/sec
09:18:18,17,-052,-074,354 KBytes,2.90 Mbits/sec
09:18:19,17,-052,-075,281 KBytes,2.31 Mbits/sec
09:18:20,17,-052,-077,153 KBytes,1.25 Mbits/sec
09:18:21,18,-052,-077,370 KBytes,3.04 Mbits/sec
09:18:21,18,-052,-076,430 KBytes,3.52 Mbits/sec
09:18:22,18,-053,-076,192 KBytes,1.58 Mbits/sec
09:18:23,18,-057,-075,164 KBytes,1.34 Mbits/sec
09:18:25,18,-053,-073,225 KBytes,1.84 Mbits/sec
09:18:26,18,-053,-072,129 KBytes,1.05 Mbits/sec
09:18:27,18,-054,-072,0.00 Bytes,0.00 bits/sec
09:18:28,18,-055,-074,12.7 KBytes,104 Kbits/sec
09:18:29,18,-053,-076,18.4 KBytes,151 Kbits/sec
09:18:30,18,-053,-078,74.9 KBytes,614 Kbits/sec
09:18:31,18,-053,-078,79.2 KBytes,648 Kbits/sec
09:18:32,18,-053,-076,0.00 Bytes,0.00 bits/sec
09:18:33,19,-053,-074,165 KBytes,1.36 Mbits/sec
09:18:34,19,-054,-073,298 KBytes,2.44 Mbits/sec
09:18:35,19,-057,-075,194 KBytes,1.59 Mbits/sec
09:18:36,19,-054,-076,230 KBytes,1.89 Mbits/sec
09:18:37,19,-054,-076,5.66 KBytes,46.3 Kbits/sec
09:18:38,19,-053,-078,198 KBytes,1.62 Mbits/sec
09:18:39,19,-053,-079,151 KBytes,1.24 Mbits/sec
09:18:40,19,-053,-079,273 KBytes,2.24 Mbits/sec
09:18:40,19,-053,-079,225 KBytes,1.84 Mbits/sec
09:18:41,19,-053,-078,266 KBytes,2.18 Mbits/sec
09:18:43,19,-053,-077,0.00 Bytes,0.00 bits/sec
09:18:44,19,-053,-075,4.24 KBytes,74.7 Kbits/sec
09:18:44,19,-053,-075,6.10 MBytes,1.68 Mbits/sec
09:18:44,19,-053,-075,6.02 MBytes,1.66 Mbits/sec
09:18:57,21,-054,-079,84.8 KBytes,695 Kbits/sec
09:18:58,21,-056,-079,0.00 Bytes,0.00 bits/sec
09:18:59,21,-056,-079,0.00 Bytes,0.00 bits/sec
09:19:00,21,-056,-078,7.07 KBytes,58.0 Kbits/sec
09:19:01,21,-056,-077,0.00 Bytes,0.00 bits/sec
09:19:02,21,-056,-076,103 KBytes,846 Kbits/sec
09:19:03,21,-056,-076,80.6 KBytes,660 Kbits/sec
09:19:04,21,-055,-076,4.24 KBytes,34.7 Kbits/sec
09:19:05,21,-055,-076,0.00 Bytes,0.00 bits/sec
09:19:07,21,-056,-076,133 KBytes,1.09 Mbits/sec
09:19:08,22,-055,-076,232 KBytes,1.90 Mbits/sec
09:19:09,22,-055,-076,288 KBytes,2.36 Mbits/sec
09:19:10,22,-056,-077,180 KBytes,1.47 Mbits/sec
09:19:11,22,-057,-076,14.1 KBytes,116 Kbits/sec
09:19:12,22,-057,-077,0.00 Bytes,0.00 bits/sec
09:19:13,22,-057,-076,12.7 KBytes,104 Kbits/sec
09:19:13,22,-057,-076,0.00 Bytes,0.00 bits/sec
09:19:14,22,-057,-076,12.7 KBytes,104 Kbits/sec
09:19:15,22,-058,-076,0.00 Bytes,0.00 bits/sec
09:19:16,22,-058,-076,0.00 Bytes,0.00 bits/sec
09:19:17,22,-058,-076,0.00 Bytes,0.00 bits/sec
09:19:18,22,-058,-076,0.00 Bytes,0.00 bits/sec
09:19:19,23,-057,-075,0.00 Bytes,0.00 bits/sec
09:19:20,23,-058,-076,0.00 Bytes,0.00 bits/sec
09:19:21,23,-059,-076,46.7 KBytes,383 Kbits/sec
09:19:23,23,-059,-076,73.5 KBytes,602 Kbits/sec
09:19:24,23,-061,-079,0.00 Bytes,0.00 bits/sec
09:19:25,23,-061,-079,0.00 Bytes,0.00 bits/sec
09:19:26,23,-061,-080,0.00 Bytes,0.00 bits/sec
09:19:27,23,-061,-078,0.00 Bytes,0.00 bits/sec
09:19:28,23,-061,-077,0.00 Bytes,0.00 bits/sec
09:19:29,23,-061,-077,0.00 Bytes,0.00 bits/sec
09:19:32,24,-060,-075,2.83 KBytes,41.7 Kbits/sec
09:19:32,24,-060,-075,1.30 MBytes,334 Kbits/sec
09:19:32,24,-060,-075,1.25 MBytes,321 Kbits/sec
09:19:45,25,-063,-076,76.4 KBytes,625 Kbits/sec
09:19:47,25,-062,-078,0.00 Bytes,0.00 bits/sec
09:19:48,25,-062,-077,18.4 KBytes,151 Kbits/sec
09:19:49,25,-063,-077,4.24 KBytes,34.7 Kbits/sec
09:19:50,25,-063,-075,0.00 Bytes,0.00 bits/sec
09:19:51,25,-062,-074,0.00 Bytes,0.00 bits/sec
09:19:52,25,-062,-072,0.00 Bytes,0.00 bits/sec
09:19:53,25,-062,-071,0.00 Bytes,0.00 bits/sec
09:19:54,26,-062,-072,0.00 Bytes,0.00 bits/sec
09:19:55,26,-062,-074,0.00 Bytes,0.00 bits/sec
09:19:56,26,-063,-075,0.00 Bytes,0.00 bits/sec
09:19:56,26,-063,-075,0.00 Bytes,0.00 bits/sec
09:19:57,26,-063,-075,0.00 Bytes,0.00 bits/sec
09:19:58,26,-063,-076,0.00 Bytes,0.00 bits/sec
09:19:59,26,-063,-078,0.00 Bytes,0.00 bits/sec
09:20:00,26,-063,-079,0.00 Bytes,0.00 bits/sec
09:20:01,26,-064,-080,0.00 Bytes,0.00 bits/sec
09:20:03,26,-064,-080,0.00 Bytes,0.00 bits/sec
09:20:04,26,-064,-078,0.00 Bytes,0.00 bits/sec
09:20:05,26,-064,-076,0.00 Bytes,0.00 bits/sec
09:20:06,27,-064,-075,0.00 Bytes,0.00 bits/sec
09:20:07,27,-064,-072,0.00 Bytes,0.00 bits/sec
09:20:08,27,-065,-075,0.00 Bytes,0.00 bits/sec
09:20:09,27,-065,-078,0.00 Bytes,0.00 bits/sec
09:20:10,27,-065,-081,0.00 Bytes,0.00 bits/sec
09:20:11,27,-065,-081,0.00 Bytes,0.00 bits/sec
09:20:12,27,-065,-081,0.00 Bytes,0.00 bits/sec
09:20:12,27,-065,0000,0.00 Bytes,0.00 bits/sec
09:20:13,27,0000,0000,0.00 Byte,0.00 bits/sec
09:20:13,27,0000,0000,0.00 Bytes,0.00 bits/sec
09:20:13,27,0000,0000,99.0 KBytes,28.0 Kbits/sec
09:22:57,19,-054,-087,328 KBytes,2.69 Mbits/sec
09:22:58,18,-055,-089,313 KBytes,2.56 Mbits/sec
09:22:59,18,-056,-089,209 KBytes,1.71 Mbits/sec
09:22:59,18,-056,-089,0.00 Bytes,0.00 bits/sec
09:23:00,18,-056,-089,253 KBytes,2.08 Mbits/sec
09:23:02,18,-055,-087,359 KBytes,2.94 Mbits/sec
09:23:03,18,-053,-085,499 KBytes,4.09 Mbits/sec
09:23:04,18,-054,-087,379 KBytes,3.10 Mbits/sec
09:23:05,18,-054,-089,256 KBytes,2.10 Mbits/sec
09:23:06,18,-053,-090,361 KBytes,2.95 Mbits/sec
09:23:07,18,-053,-089,270 KBytes,2.21 Mbits/sec
09:23:08,18,-055,-088,389 KBytes,3.19 Mbits/sec
09:23:09,18,-052,-087,378 KBytes,3.09 Mbits/sec
09:23:10,17,-053,-086,431 KBytes,3.53 Mbits/sec
09:23:11,17,-053,-088,238 KBytes,1.94 Mbits/sec
09:23:12,17,-054,-088,96.2 KBytes,788 Kbits/sec
09:23:13,17,-051,-087,414 KBytes,3.39 Mbits/sec
09:23:13,17,-051,-087,397 KBytes,3.26 Mbits/sec
09:23:14,17,-053,-087,444 KBytes,3.64 Mbits/sec
09:23:15,17,-054,-087,345 KBytes,2.83 Mbits/sec
09:23:16,17,-052,-089,291 KBytes,2.39 Mbits/sec
09:23:17,17,-052,-090,264 KBytes,2.17 Mbits/sec
09:23:19,17,-053,-091,313 KBytes,2.56 Mbits/sec
09:23:20,17,-054,-091,228 KBytes,1.86 Mbits/sec
09:23:21,17,-053,-090,419 KBytes,3.43 Mbits/sec
09:23:22,16,-052,-090,407 KBytes,3.34 Mbits/sec
09:23:23,16,-052,-089,410 KBytes,3.36 Mbits/sec
09:23:24,16,-051,-089,479 KBytes,3.93 Mbits/sec
09:23:25,16,-051,-090,368 KBytes,3.01 Mbits/sec
09:23:26,16,-051,-089,122 KBytes,996 Kbits/sec
09:23:27,16,-051,-090,0.00 Bytes,0.00 bits/sec
09:23:27,16,-051,-090,12.7 KBytes,170 Kbits/sec
09:23:27,16,-051,-090,9.54 MBytes,2.53 Mbits/sec
09:23:27,16,-051,-090,9.45 MBytes,2.51 Mbits/sec
09:23:43,15,-050,-088,607 KBytes,4.97 Mbits/sec
09:23:44,15,-050,-089,533 KBytes,4.37 Mbits/sec
09:23:44,15,-050,-089,399 KBytes,3.27 Mbits/sec
09:23:45,14,-050,-088,614 KBytes,5.03 Mbits/sec
09:23:46,14,-050,-087,611 KBytes,5.00 Mbits/sec
09:23:47,14,-049,-084,710 KBytes,5.81 Mbits/sec
09:23:48,14,-050,-085,171 KBytes,1.40 Mbits/sec
09:23:49,14,-048,-086,167 KBytes,1.37 Mbits/sec
09:23:50,14,-050,-086,120 KBytes,985 Kbits/sec
09:23:51,14,-048,-085,115 KBytes,938 Kbits/sec
09:23:52,14,-050,-082,1.41 KBytes,11.6 Kbits/sec
09:23:53,14,-050,-080,0.00 Bytes,0.00 bits/sec
09:23:54,14,-050,-078,469 KBytes,3.85 Mbits/sec
09:23:55,14,-048,-077,632 KBytes,5.18 Mbits/sec
09:23:56,13,-049,-077,568 KBytes,4.66 Mbits/sec
09:23:57,13,-048,-076,710 KBytes,5.81 Mbits/sec
09:23:59,13,-048,-074,676 KBytes,5.54 Mbits/sec
09:24:00,13,-047,-077,728 KBytes,5.97 Mbits/sec
09:24:01,13,-049,-079,106 KBytes,868 Kbits/sec
09:24:02,13,-049,-080,263 KBytes,2.16 Mbits/sec
09:24:03,13,-048,-079,677 KBytes,5.55 Mbits/sec
09:24:03,13,-048,-079,578 KBytes,4.74 Mbits/sec
09:24:04,13,-050,-078,508 KBytes,4.16 Mbits/sec
09:24:05,13,-048,-076,554 KBytes,4.54 Mbits/sec
09:24:06,13,-054,-077,349 KBytes,2.86 Mbits/sec
09:24:07,13,-050,-077,547 KBytes,4.48 Mbits/sec
09:24:08,12,-048,-077,495 KBytes,4.05 Mbits/sec
09:24:09,12,-047,-078,376 KBytes,3.08 Mbits/sec
09:24:10,12,-047,-078,700 KBytes,5.73 Mbits/sec
09:24:11,12,-047,-081,757 KBytes,6.20 Mbits/sec
09:24:11,12,-047,-081,1.41 KBytes,571 Kbits/sec
09:24:11,12,-047,-081,13.7 MBytes,3.82 Mbits/sec
09:24:11,12,-047,-081,13.4 MBytes,3.75 Mbits/sec
09:24:24,11,-046,-078,875 KBytes,7.17 Mbits/sec
09:24:25,11,-046,-077,899 KBytes,7.37 Mbits/sec
09:24:26,11,-046,-078,894 KBytes,7.32 Mbits/sec
09:24:27,11,-046,-080,706 KBytes,5.78 Mbits/sec
09:24:28,11,-047,-083,427 KBytes,3.50 Mbits/sec
09:24:29,11,-048,-083,672 KBytes,5.50 Mbits/sec
09:24:30,11,-046,-081,704 KBytes,5.77 Mbits/sec
09:24:31,10,-047,-079,598 KBytes,4.90 Mbits/sec
09:24:32,10,-046,-076,642 KBytes,5.26 Mbits/sec
09:24:33,10,-046,-076,455 KBytes,3.73 Mbits/sec
09:24:34,10,-046,-077,724 KBytes,5.93 Mbits/sec
09:24:35,10,-046,-078,583 KBytes,4.77 Mbits/sec
09:24:36,10,-045,-077,728 KBytes,5.97 Mbits/sec
09:24:38,10,-045,-076,305 KBytes,2.50 Mbits/sec
09:24:39,10,-046,-076,639 KBytes,5.24 Mbits/sec
09:24:40,10,-045,-079,645 KBytes,5.28 Mbits/sec
09:24:40,10,-045,-079,576 KBytes,4.71 Mbits/sec
09:24:41,10,-045,-080,860 KBytes,7.04 Mbits/sec
09:24:42,10,-045,-081,714 KBytes,5.85 Mbits/sec
09:24:43,9,-045,-080,782 KBytes,6.41 Mbits/sec
09:24:44,9,-045,-078,639 KBytes,5.24 Mbits/sec
09:24:45,9,-045,-077,482 KBytes,3.95 Mbits/sec
09:24:46,9,-045,-076,506 KBytes,4.15 Mbits/sec
09:24:47,9,-045,-077,359 KBytes,2.94 Mbits/sec
09:24:48,9,-045,-078,406 KBytes,3.32 Mbits/sec
09:24:49,9,-045,-080,270 KBytes,2.21 Mbits/sec
09:24:50,9,-046,-080,218 KBytes,1.78 Mbits/sec
09:24:51,9,-045,-080,229 KBytes,1.88 Mbits/sec
09:24:52,9,-045,-079,239 KBytes,1.96 Mbits/sec
09:24:53,9,-045,-077,635 KBytes,5.20 Mbits/sec
09:24:53,9,-045,-077,0.00 Bytes,0.00 bits/sec
09:24:53,9,-045,-077,17.2 MBytes,4.81 Mbits/sec
09:24:54,9,-045,-077,17.0 MBytes,4.75 Mbits/sec
09:25:05,8,-044,-080,889 KBytes,7.29 Mbits/sec
09:25:06,7,-044,-080,827 KBytes,6.78 Mbits/sec
09:25:06,7,-044,-080,768 KBytes,6.29 Mbits/sec
09:25:07,7,-043,-077,889 KBytes,7.29 Mbits/sec
09:25:08,7,-042,-077,1.04 MBytes,8.72 Mbits/sec
09:25:09,7,-043,-077,843 KBytes,6.90 Mbits/sec
09:25:10,7,-043,-080,550 KBytes,4.51 Mbits/sec
09:25:11,7,-051,-085,339 KBytes,2.78 Mbits/sec
09:25:12,7,-043,-085,406 KBytes,3.32 Mbits/sec
09:25:13,7,-044,-083,337 KBytes,2.76 Mbits/sec
09:25:15,7,-046,-081,298 KBytes,2.44 Mbits/sec
09:25:16,7,-044,-084,619 KBytes,5.07 Mbits/sec
09:25:17,7,-044,-087,475 KBytes,3.89 Mbits/sec
09:25:18,6,-044,-086,413 KBytes,3.38 Mbits/sec
09:25:19,6,-044,-084,533 KBytes,4.37 Mbits/sec
09:25:20,6,-043,-082,358 KBytes,2.93 Mbits/sec
09:25:21,6,-043,-081,550 KBytes,4.51 Mbits/sec
09:25:22,6,-043,-080,477 KBytes,3.90 Mbits/sec
09:25:23,6,-043,-080,642 KBytes,5.26 Mbits/sec
09:25:24,6,-043,-082,471 KBytes,3.86 Mbits/sec
09:25:25,6,-043,-081,437 KBytes,3.58 Mbits/sec
09:25:25,6,-043,-081,492 KBytes,4.03 Mbits/sec
09:25:26,6,-043,-081,614 KBytes,5.03 Mbits/sec
09:25:27,6,-042,-081,499 KBytes,4.09 Mbits/sec
09:25:28,6,-042,-080,502 KBytes,4.11 Mbits/sec
09:25:29,5,-042,-078,413 KBytes,3.38 Mbits/sec
09:25:30,5,-046,-078,286 KBytes,2.34 Mbits/sec
09:25:32,5,-042,-079,219 KBytes,1.80 Mbits/sec
09:25:33,5,-042,-081,536 KBytes,4.39 Mbits/sec
09:25:34,5,-042,-083,450 KBytes,3.68 Mbits/sec
09:25:34,5,-042,-083,11.3 KBytes,1.69 Mbits/sec
09:25:34,5,-042,-083,16.0 MBytes,4.46 Mbits/sec
09:25:34,5,-042,-083,15.8 MBytes,4.42 Mbits/sec
09:25:45,4,-040,-085,368 KBytes,3.01 Mbits/sec
09:25:46,4,-040,-083,802 KBytes,6.57 Mbits/sec
09:25:47,4,-041,-082,923 KBytes,7.56 Mbits/sec
09:25:48,4,-041,-081,1.01 MBytes,8.47 Mbits/sec
09:25:48,4,-041,-080,597 KBytes,4.89 Mbits/sec
09:25:49,4,-041,-080,358 KBytes,2.93 Mbits/sec
09:25:50,4,-040,-080,301 KBytes,2.47 Mbits/sec
09:25:51,4,-040,-082,356 KBytes,2.92 Mbits/sec
09:25:53,3,-040,-085,732 KBytes,6.00 Mbits/sec
09:25:54,3,-039,-086,618 KBytes,5.06 Mbits/sec
09:25:55,3,-039,-085,952 KBytes,7.80 Mbits/sec
09:25:56,3,-040,-085,898 KBytes,7.36 Mbits/sec
09:25:57,3,-039,-084,734 KBytes,6.01 Mbits/sec
09:25:58,3,-039,-085,822 KBytes,6.73 Mbits/sec
09:25:59,3,-039,-086,752 KBytes,6.16 Mbits/sec
09:26:00,3,-039,-086,639 KBytes,5.24 Mbits/sec
09:26:01,3,-039,-085,598 KBytes,4.90 Mbits/sec
09:26:02,3,-040,-084,501 KBytes,4.10 Mbits/sec
09:26:03,3,-039,-084,682 KBytes,5.58 Mbits/sec
09:26:04,2,-039,-083,817 KBytes,6.70 Mbits/sec
